ID,APCID,ProviderID,OutpatientServices,AverageSubmittedCharges,AverageTotalPayments,Year
543,13,90011,202,192.6195545,54.90519802,2012
544,13,100001,1249,174.8578623,52.03381105,2012
545,13,100002,759,182.1671937,60.32343874,2012
546,13,100006,210,350.097619,52.25257143,2012
547,13,100007,1133,145.7397176,57.65072374,2012
548,13,100012,406,362.4118719,56.83054187,2012
549,13,100014,97,201.3840206,56.88463918,2012
550,13,100017,72,216.1294444,52.60319444,2012
551,13,100018,49,200.9273469,59.35877551,2012
552,13,100019,26,393.6515385,56.935,2012
553,13,100022,193,90.40569948,55.00917098,2012
554,13,100023,243,262.6716049,56.49111111,2012
555,13,100025,1077,127.9549211,52.1558403,2012
556,13,100026,49,118.1208163,41.64244898,2012
557,13,100028,12,145.4166667,48.395,2012
558,13,100030,31,184.4354839,54.34516129,2012
559,13,100032,54,251.8244444,49.30037037,2012
560,13,100034,13,3484.510769,54.67307692,2012
561,13,100035,63,219.952381,57.83793651,2012
562,13,100040,23,261.9130435,55.94304348,2012
563,13,100044,544,176.7509559,59.08955882,2012
564,13,100046,684,143.2042544,56.45095029,2012
565,13,100047,18,435.8822222,55.08388889,2012
566,13,100049,105,396.2617143,47.42609524,2012
567,13,100055,468,61.68136752,56.40698718,2012
568,13,100057,25,251.2092,44.1552,2012
569,13,100063,421,186.7832304,57.84104513,2012
570,13,100067,20,226.4285,52.091,2012
571,13,100068,613,257.7453181,55.17066884,2012
572,13,100070,579,272.0042487,55.12217617,2012
573,13,100071,227,342.1003524,56.74387665,2012
574,13,100072,309,217.253754,55.7810356,2012
575,13,100073,400,96.925025,58.516375,2012
576,13,100076,18,754.8205556,43.74833333,2012
577,13,100080,31,311.8322581,39.05645161,2012
578,13,100084,21,417.7571429,53.95142857,2012
579,13,100086,65,352.8923077,53.00523077,2012
580,13,100087,230,295.6929565,54.44730435,2012
581,13,100088,26,388.8153846,47.30423077,2012
582,13,100092,43,493.6197674,54.69674419,2012
583,13,100093,96,164.4895833,31.26947917,2012
584,13,100099,17,323.7141176,47.82647059,2012
